ano;mes;temp_c
1980;Jan;26,16
1980;Fev;27
1980;Mar;28,12
1980;Abr;25,02
1980;Mai;23,52
1980;Jun;20,96
1980;Jul;20,39
1980;Ago;20,69
1980;Set;19,83
1980;Out;22,25
1980;Nov;24
1980;Dez;27,19
1981;Jan;26,63
1981;Fev;28,08
1981;Mar;26,2
1981;Abr;23,91
1981;Mai;23,34
1981;Jun;21,12
1981;Jul;19,56
1981;Ago;20,63
1981;Set;21,79
1981;Out;21,3
1981;Nov;24,42
1981;Dez;25,77
1982;Jan;25
1982;Fev;27,17
1982;Mar;25,28
1982;Abr;23,27
1982;Mai;21,33
1982;Jun;22,34
1982;Jul;21,26
1982;Ago;21,33
1982;Set;21,38
1982;Out;23,13
1982;Nov;25,1
1982;Dez;25,3
1983;Jan;27,39
1983;Fev;27,47
1983;Mar;25,71
1983;Abr;24,28
1983;Mai;23,05
1983;Jun;19,6
1983;Jul;19,73
1983;Ago;19,96
1983;Set;19,11
1983;Out;22,25
1983;Nov;25,75
1983;Dez;26,78
1984;Jan;29,27
1984;Fev;28,48
1984;Mar;25,77
1984;Abr;23,69
1984;Mai;23,53
1984;Jun;21,9
1984;Jul;20,75
1984;Ago;18,36
1984;Set;20,04
1984;Out;22,87
1984;Nov;24,2
1984;Dez;24,67
1985;Jan;25,34
1985;Fev;27,33
1985;Mar;27,13
1985;Abr;25,84
1985;Mai;22,15
1985;Jun;19,98
1985;Jul;20,18
1985;Ago;21,51
1985;Set;21,08
1985;Out;23,05
1985;Nov;23,93
1985;Dez;25,2
1986;Jan;28,09
1986;Fev;27,3
1986;Mar;26,28
1986;Abr;25,63
1986;Mai;24,06
1986;Jun;21,28
1986;Jul;20,04
1986;Ago;21,62
1986;Set;21,37
1986;Out;22,22
1986;Nov;25,19
1986;Dez;26,01
1987;Jan;27,94
1987;Fev;27,37
1987;Mar;26,06
1987;Abr;25,55
1987;Mai;22,08
1987;Jun;19,84
1987;Jul;22,46
1987;Ago;20,19
